ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-05-13T00:00:00.000000000Z,35,2,861,42.240000000,43.483000000,42.065000000,43.001000000,9812960,AVGO
2021-05-13T00:00:00.000000000Z,35,2,8465,25.000000000,25.671666667,25.000000000,25.563333333,598986,SCHD
2021-05-13T00:00:00.000000000Z,35,2,4988,67.600000000,67.800000000,66.082000000,66.710000000,720205,IGV
2021-05-13T00:00:00.000000000Z,35,2,448,114.240000000,121.470000000,113.670000000,120.390000000,4526353,AMAT
2021-05-13T00:00:00.000000000Z,35,2,7933,315.910000000,322.400000000,314.990000000,319.660000000,15225190,QQQ
2021-05-13T00:00:00.000000000Z,35,2,24,122.460000000,126.140000000,121.660000000,125.080000000,21223415,AAPL
2021-05-13T00:00:00.000000000Z,35,2,5995,55.158000000,59.428000000,55.151000000,58.700000000,7591520,LRCX
2021-05-13T00:00:00.000000000Z,35,2,7911,28.575000000,29.747500000,28.425000000,29.230000000,2110516,QLD
2021-05-13T00:00:00.000000000Z,35,2,1844,41.960000000,42.480000000,41.720000000,41.900000000,58005,CIBR
2021-05-13T00:00:00.000000000Z,35,2,7972,21.440000000,21.750000000,21.280000000,21.690000000,320052,QYLD
2021-05-13T00:00:00.000000000Z,35,2,458,74.350000000,76.000000000,72.500000000,73.280000000,10136024,AMD
2021-05-13T00:00:00.000000000Z,35,2,6932,13.716250000,14.079000000,13.458500000,13.699500000,75249960,NVDA
2021-05-13T00:00:00.000000000Z,35,2,9311,54.400000000,55.190000000,54.400000000,54.980000000,6906,TDIV
2021-05-13T00:00:00.000000000Z,35,2,7883,124.210000000,128.480000000,123.400000000,127.700000000,3612238,QCOM
2021-05-13T00:00:00.000000000Z,35,2,1313,31.650000000,32.140000000,31.650000000,32.100000000,205165,BOTZ
2021-05-13T00:00:00.000000000Z,35,2,10224,42.948333333,43.616666667,42.948333333,43.276666667,206742,VUG
2021-05-13T00:00:00.000000000Z,35,2,9540,21.840000000,23.167500000,21.622500000,22.597500000,52308480,TQQQ
2021-05-13T00:00:00.000000000Z,35,2,10179,210.730000000,216.380000000,210.000000000,214.000000000,425244,VRTX
2021-05-13T00:00:00.000000000Z,35,2,5231,271.666666667,275.700000000,270.596666667,273.530000000,475683,ISRG
2021-05-13T00:00:00.000000000Z,35,2,8769,111.740000000,115.000000000,110.695000000,113.100000000,5191190,SMH
2021-05-13T00:00:00.000000000Z,35,2,3840,104.790000000,106.100000000,104.320000000,105.170000000,43637,FTEC
2021-05-13T00:00:00.000000000Z,35,2,6476,238.560000000,245.590000000,238.000000000,243.100000000,9265740,MSFT
2021-05-13T00:00:00.000000000Z,35,2,6693,48.370000000,49.183000000,48.124000000,48.684000000,9531950,NFLX
2021-05-13T00:00:00.000000000Z,35,2,8468,16.476250000,16.575000000,16.337500000,16.517500000,127408,SCHG
